match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
291221,R Premadasa Stadium,Sri Lanka,England,ODI,Sri Lanka,bat,Sri Lanka
291345,Adelaide Oval,Australia,New Zealand,ODI,New Zealand,bat,Australia
291346,Sydney Cricket Ground,Australia,New Zealand,ODI,New Zealand,bat,Unknown
291347,Bellerive Oval,Australia,New Zealand,ODI,New Zealand,field,Australia
291359,"Brisbane Cricket Ground, Woolloongabba",Australia,India,ODI,India,bat,Unknown
291360,"Brisbane Cricket Ground, Woolloongabba",India,Sri Lanka,ODI,India,bat,Unknown
291361,Sydney Cricket Ground,Australia,Sri Lanka,ODI,Australia,bat,Australia
291362,Melbourne Cricket Ground,Australia,India,ODI,Australia,bat,India
291364,Western Australia Cricket Association Ground,Australia,Sri Lanka,ODI,Australia,bat,Australia
291365,Adelaide Oval,Australia,India,ODI,Australia,bat,Australia
291366,Adelaide Oval,India,Sri Lanka,ODI,Sri Lanka,bat,India
291367,Melbourne Cricket Ground,Australia,Sri Lanka,ODI,Sri Lanka,field,Australia
291368,Sydney Cricket Ground,Australia,India,ODI,Australia,bat,Australia
291369,Bellerive Oval,India,Sri Lanka,ODI,India,field,India
291370,Melbourne Cricket Ground,Australia,Sri Lanka,ODI,Sri Lanka,bat,Sri Lanka
291371,Sydney Cricket Ground,Australia,India,ODI,Australia,bat,India
291372,"Brisbane Cricket Ground, Woolloongabba",Australia,India,ODI,India,bat,India
293071,"Civil Service Cricket Club, Stormont",Ireland,India,ODI,India,field,India
293072,"Civil Service Cricket Club, Stormont",Ireland,South Africa,ODI,Ireland,field,South Africa
293076,"Civil Service Cricket Club, Stormont",India,South Africa,ODI,South Africa,field,South Africa
293077,"Civil Service Cricket Club, Stormont",India,South Africa,ODI,India,field,India
293078,"Civil Service Cricket Club, Stormont",India,South Africa,ODI,India,field,India
293481,P Saravanamuttu Stadium,Sri Lanka,Bangladesh,ODI,Bangladesh,field,Sri Lanka
293482,R Premadasa Stadium,Sri Lanka,Bangladesh,ODI,Sri Lanka,field,Sri Lanka
293483,R Premadasa Stadium,Sri Lanka,Bangladesh,ODI,Bangladesh,field,Sri Lanka
295785,"Civil Service Cricket Club, Stormont",Netherlands,Scotland,ODI,Scotland,bat,Unknown
295788,Clontarf Cricket Club Ground,Ireland,West Indies,ODI,Ireland,bat,Unknown
296685,Gymkhana Club Ground,Kenya,Canada,ODI,Kenya,field,Kenya
296687,Gymkhana Club Ground,Kenya,Canada,ODI,Canada,bat,Kenya
296904,Riverside Ground,England,New Zealand,ODI,New Zealand,field,England
296905,Edgbaston,England,New Zealand,ODI,New Zealand,field,Unknown
296906,County Ground,England,New Zealand,ODI,England,field,New Zealand
296907,Kennington Oval,England,New Zealand,ODI,New Zealand,field,New Zealand
296908,Lord's,England,New Zealand,ODI,England,field,New Zealand
296914,Headingley,England,South Africa,ODI,England,bat,England
296915,Trent Bridge,England,South Africa,ODI,South Africa,bat,England
296916,Kennington Oval,England,South Africa,ODI,South Africa,field,England
296917,Lord's,England,South Africa,ODI,England,field,England
296918,Sophia Gardens,England,South Africa,ODI,England,field,Unknown
297793,M Chinnaswamy Stadium,India,Australia,ODI,Australia,bat,Unknown
297794,Nehru Stadium,India,Australia,ODI,India,field,Australia
297795,"Rajiv Gandhi International Stadium, Uppal",India,Australia,ODI,Australia,bat,Australia
297796,Sector 16 Stadium,India,Australia,ODI,India,bat,India
297797,Reliance Stadium,India,Australia,ODI,India,bat,Australia
297798,Vidarbha Cricket Association Ground,India,Australia,ODI,Australia,bat,Australia
297799,Wankhede Stadium,India,Australia,ODI,Australia,bat,India
297801,Nehru Stadium,India,Pakistan,ODI,Pakistan,bat,India
297802,"Punjab Cricket Association Stadium, Mohali",India,Pakistan,ODI,India,bat,Pakistan
297803,Green Park,India,Pakistan,ODI,Pakistan,field,India
297804,Captain Roop Singh Stadium,India,Pakistan,ODI,Pakistan,bat,India
297805,Sawai Mansingh Stadium,India,Pakistan,ODI,India,field,Pakistan
298796,Kingsmead,South Africa,New Zealand,ODI,South Africa,field,South Africa
298797,St George's Park,South Africa,New Zealand,ODI,South Africa,bat,New Zealand
298798,Newlands,South Africa,New Zealand,ODI,New Zealand,bat,South Africa
298805,SuperSport Park,South Africa,West Indies,ODI,South Africa,field,South Africa
298806,Newlands,South Africa,West Indies,ODI,South Africa,bat,South Africa
298807,St George's Park,South Africa,West Indies,ODI,West Indies,bat,South Africa
298808,Kingsmead,South Africa,West Indies,ODI,West Indies,bat,South Africa
298809,New Wanderers Stadium,South Africa,West Indies,ODI,South Africa,field,South Africa
299006,Gaddafi Stadium,Pakistan,South Africa,ODI,South Africa,bat,South Africa
299007,Gaddafi Stadium,Pakistan,South Africa,ODI,Pakistan,bat,Pakistan
299008,Iqbal Stadium,Pakistan,South Africa,ODI,South Africa,bat,Pakistan
299009,Multan Cricket Stadium,Pakistan,South Africa,ODI,Pakistan,bat,South Africa
299010,Gaddafi Stadium,Pakistan,South Africa,ODI,South Africa,bat,South Africa
300426,Eden Park,New Zealand,Bangladesh,ODI,New Zealand,field,New Zealand
300427,McLean Park,New Zealand,Bangladesh,ODI,New Zealand,bat,New Zealand
300428,Queenstown Events Centre,New Zealand,Bangladesh,ODI,New Zealand,field,New Zealand
300437,Westpac Stadium,New Zealand,England,ODI,England,bat,New Zealand
300438,Seddon Park,New Zealand,England,ODI,New Zealand,field,New Zealand
300439,Eden Park,New Zealand,England,ODI,England,field,England
